instance_id,repo,outcome,phase,exit_status,verdict,phase_started,observed_phase_seconds,prompt_tokens,completion_tokens,total_tokens,reasoning_tokens,cached_tokens,model_requests,model_responses,api_errors,inflight_requests,actions,checkpoints,reasoning_responses,usage_missing,reasoning_usage_present,cached_usage_present,length_responses,api_success_seconds,api_error_seconds,error_to_retry_gap_seconds,error_RateLimitError,worker_finished_seconds,error_BadGatewayError,error_Timeout
django__django-10999,django/django,unresolved,analysis,Submitted,,True,248.2873090421781,119516,9027,128543,3502,87296,22,14,8,0,19,2,12,0,14,14,0,135.88286798028275,28.693868584465235,36.00921016559005,8,239.76746454369277,,
django__django-10999,django/django,unresolved,implementation,Submitted,,True,467.0635714610107,181873,5535,187408,1706,144128,37,16,21,0,21,2,16,0,16,16,0,161.01862270431593,51.101781024131924,204.0176802095957,20,458.78697018977255,1,
django__django-10999,django/django,unresolved,review,Submitted,unverified,True,376.6564949429594,280367,16363,296730,6936,226048,32,18,14,0,22,6,18,0,18,18,0,206.96959415171295,41.71247117314488,76.02022347180173,14,368.6719367359765,,
django__django-10999,django/django,unresolved,revision,PhaseTimeout,,True,74.98477357672527,44647,2402,47049,1175,20736,7,4,3,0,5,1,4,0,4,4,0,31.981513106264174,6.143717089202255,12.002093856688589,3,,,
django__django-10999,django/django,unresolved,final_review,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-11087,django/django,unresolved,analysis,Submitted,,True,348.10463782120496,229373,5935,235308,2743,184064,38,19,19,0,24,2,18,0,19,19,0,147.86670634243637,64.21854197327048,84.01826940849423,19,341.3835038850084,,
django__django-11087,django/django,unresolved,implementation,PhaseTimeout,,True,828.6840996281244,774977,17460,792437,11113,692224,59,32,27,0,38,1,27,0,32,32,0,517.9715008563362,108.44501892011613,112.03464432898909,27,,,
django__django-11087,django/django,unresolved,review,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-11087,django/django,unresolved,revision,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
django__django-11087,django/django,unresolved,final_review,BudgetExhausted,unverified,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
