instance_id,repo,outcome,started,finished,elapsed_seconds,generation_trace_seconds,generation_status,patch_chars,residual_seconds,detailed_eval_report,patch_applied,fail_to_pass_success,fail_to_pass_failure,pass_to_pass_success,pass_to_pass_failure,prompt_tokens,completion_tokens,total_tokens,reasoning_tokens,cached_tokens,model_requests,model_responses,api_errors,inflight_requests,actions,checkpoints,reasoning_responses,usage_missing,reasoning_usage_present,cached_usage_present,length_responses,api_success_seconds,api_error_seconds,error_to_retry_gap_seconds,error_RateLimitError,error_BadGatewayError,all_roles_completed,final_review_started,revision_started,implementation_patch_available,final_equals_implementation,error_Timeout
django__django-10999,django/django,unresolved,2026-09-18T12:16:59.146657+00:00,2026-09-18T12:42:11.424946+00:00,1512.278289,1209.8816061308607,completed_with_role_failures,491,302.39668286913934,True,True,0,2,10,0,626403,33327,659730,13319,478208,98,52,46,0,67,11,50,0,52,52,0,535.8525979425758,127.65183787094429,328.0492077036761,45,1,False,False,True,True,True,
django__django-11087,django/django,unresolved,2026-09-18T12:42:11.426514+00:00,2026-09-18T13:06:57.678606+00:00,1486.252092,1213.760748625733,completed_with_role_failures,1268,272.491343374267,True,True,0,1,41,0,1004350,23395,1027745,13856,876288,97,51,46,0,62,3,45,0,51,51,0,665.8382071987726,172.6635608933866,196.05291373748332,46,,False,False,False,True,True,
django__django-11138,django/django,resolved,2026-09-18T13:06:57.680114+00:00,2026-09-18T13:31:50.046382+00:00,1492.366268,1212.048546770122,completed_with_role_failures,7862,280.3177212298781,True,True,1,0,73,0,1234275,35412,1269687,17054,1057536,82,63,18,1,101,7,60,0,63,63,0,667.5477147796191,132.21654556225985,80.02306596841663,16,2,False,False,False,True,True,
django__django-11141,django/django,unresolved,2026-09-18T13:31:50.047843+00:00,2026-09-18T13:57:28.371801+00:00,1538.323958,1209.1023716288619,completed_with_role_failures,771,329.2215863711381,True,True,1,0,23,1,951674,37283,988957,17163,763648,85,71,14,0,110,8,70,0,71,71,0,775.805898887571,44.77128149755299,60.01537566399202,13,,False,False,True,True,True,1
django__django-11149,django/django,resolved,2026-09-18T13:57:28.375280+00:00,2026-09-18T14:20:54.664856+00:00,1406.289576,1211.2485749493353,completed_with_role_failures,3863,195.0410010506646,True,True,2,0,46,0,1277763,42923,1320686,22275,1071616,77,66,10,1,92,7,62,0,66,66,0,812.787720321212,39.511614105664194,44.01236817520112,10,,False,False,False,True,True,
django__django-11206,django/django,resolved,2026-09-18T14:20:54.666725+00:00,2026-09-18T14:44:02.826303+00:00,1388.159578,1207.2684268490411,completed_with_role_failures,1079,180.89115115095888,True,True,2,0,4,0,839584,52064,891648,28877,631552,60,50,10,0,64,10,48,0,50,50,0,871.7174287261441,108.12863428657874,40.006508100777864,9,,False,False,True,True,True,1
django__django-11239,django/django,resolved,2026-09-18T14:44:02.828119+00:00,2026-09-18T15:05:30.964140+00:00,1288.136021,1114.2100678561255,completed,840,173.9259531438745,True,True,1,0,5,0,809817,36358,846175,12827,603648,84,68,16,0,92,9,67,0,68,68,0,739.640250901226,69.08081418881193,72.01110545592383,16,,True,True,True,True,True,
django__django-11265,django/django,unresolved,2026-09-18T15:05:30.966054+00:00,2026-09-18T15:28:13.122241+00:00,1362.156187,1206.7193528809585,completed_with_role_failures,592,155.43683411904158,True,True,0,1,30,0,1251365,39604,1290969,18592,1042688,82,78,4,0,100,6,73,0,78,78,0,941.5492982598953,12.73612907063216,12.002066393382847,3,,False,False,True,True,True,1
django__django-11292,django/django,resolved,2026-09-18T15:28:13.124186+00:00,2026-09-18T15:51:35.361318+00:00,1402.237132,1206.8656978840008,completed_with_role_failures,1042,195.37143411599914,True,True,1,0,31,0,1272073,37602,1309675,14608,1062912,84,79,4,1,107,9,79,0,79,79,0,869.106115390081,26.233170753810555,16.003080585971475,4,,False,False,True,True,True,
django__django-11400,django/django,unresolved,2026-09-18T15:51:35.366179+00:00,2026-09-18T16:15:49.635637+00:00,1454.269458,1210.973821878899,completed_with_role_failures,1490,243.2956361211011,True,True,4,2,58,0,952963,36737,989700,17980,787712,70,62,7,1,90,7,60,0,62,62,0,777.6504378491081,138.9897161461413,28.00481247762218,6,1,False,False,False,True,True,
django__django-11477,django/django,unresolved,2026-09-18T16:15:49.642313+00:00,2026-09-18T16:38:53.836934+00:00,1384.194621,1206.576543659903,completed_with_role_failures,645,177.618077340097,True,True,1,2,151,0,996235,33531,1029766,13712,817920,96,84,12,0,101,7,78,0,84,84,0,808.7978504193015,78.46967011597008,52.009773150552064,10,1,False,False,True,True,True,1
django__django-11490,django/django,resolved,2026-09-18T16:38:53.839971+00:00,2026-09-18T17:01:50.005773+00:00,1376.165802,1206.4639110658318,completed_with_role_failures,677,169.7018909341682,True,True,1,0,23,0,1138773,38432,1177205,18978,947712,94,77,17,0,113,9,70,0,77,77,0,793.9008965799585,60.528650865424424,68.01129081612453,16,1,False,False,True,True,True,
django__django-11532,django/django,unresolved,2026-09-18T17:01:50.007993+00:00,2026-09-18T17:24:24.184554+00:00,1354.176561,1205.665859061759,completed_with_role_failures,861,148.51070193824103,True,True,1,0,130,18,1108115,54349,1162464,30654,875008,87,71,16,0,104,10,69,0,71,71,0,809.4202800504863,25.017204334493726,88.01302571594715,16,,False,True,True,True,True,
django__django-11555,django/django,resolved,2026-09-18T17:24:24.187279+00:00,2026-09-18T17:46:54.338543+00:00,1350.151264,1206.4530429476872,completed_with_role_failures,1197,143.69822105231287,True,True,1,0,26,0,1313211,42472,1355683,22656,1105664,103,86,17,0,125,8,81,0,86,86,0,774.812737970613,58.24470171472058,80.01105991285294,16,,False,False,True,True,True,1
django__django-11734,django/django,resolved,2026-09-18T17:46:54.342340+00:00,2026-09-18T18:09:48.509150+00:00,1374.16681,1209.4151878249831,completed_with_role_failures,2823,164.7516221750168,True,True,1,0,275,0,1825575,49260,1874835,29795,1618432,96,76,20,0,107,7,74,0,76,76,0,809.8732411148958,42.41573340911418,100.01243323273957,19,,False,False,False,True,True,1
django__django-11820,django/django,unresolved,2026-09-18T18:09:48.515051+00:00,2026-09-18T18:32:26.667739+00:00,1358.152688,1205.8342994530685,completed_with_role_failures,923,152.31838854693137,True,True,1,1,61,0,1118992,50000,1168992,29814,920320,113,78,35,0,97,9,74,0,78,78,0,710.4505166281015,79.05122198257595,156.023592248559,34,,False,True,True,True,True,1
django__django-11848,django/django,resolved,2026-09-18T18:32:26.670592+00:00,2026-09-18T18:55:10.829814+00:00,1364.159222,1206.4681402877904,completed_with_role_failures,677,157.69108171220955,True,True,2,0,43,0,1022628,47110,1069738,23777,791296,113,68,45,0,98,10,67,0,68,68,0,608.8173167416826,61.032745570875704,264.0294337552041,44,,False,True,True,True,True,1
django__django-11885,django/django,resolved,2026-09-18T18:55:10.842056+00:00,2026-09-18T19:18:04.994201+00:00,1374.152145,1210.4456398966722,completed_with_role_failures,3033,163.7065051033278,True,True,1,0,43,0,1679445,54624,1734069,39551,1437952,98,62,36,0,97,5,61,0,62,62,0,686.72235174058,63.172365442849696,212.024003833998,35,,False,False,False,True,True,1
django__django-11964,django/django,resolved,2026-09-18T19:18:04.997386+00:00,2026-09-18T19:40:59.191790+00:00,1374.194404,1207.1727749579586,completed_with_role_failures,636,167.02162904204147,True,True,2,0,15,0,985357,31893,1017250,10780,795904,130,75,55,0,93,8,70,0,75,75,0,578.4396409923211,78.68503885297105,256.0448880381882,54,,False,True,True,True,True,1
django__django-12039,django/django,resolved,2026-09-18T19:40:59.195031+00:00,2026-09-18T20:04:25.380944+00:00,1406.185913,1206.6617491142824,completed_with_role_failures,1112,199.5241638857176,True,True,1,0,11,0,1293481,44146,1337627,19941,1057792,119,84,35,0,114,11,78,0,84,84,0,661.3732282309793,73.92641773959622,156.0230125770904,34,,False,True,True,True,True,1
django__django-12125,django/django,resolved,2026-09-18T20:04:25.383805+00:00,2026-09-18T20:27:21.567936+00:00,1376.184131,1200.6647159182467,completed_with_role_failures,1944,175.51941508175332,True,True,2,0,45,0,1268395,54302,1322697,29338,1048832,109,77,32,0,107,9,74,0,77,77,0,728.5238339314237,45.114543326199055,144.02588102966547,32,,False,False,True,True,False,
django__django-12209,django/django,resolved,2026-09-18T20:27:21.570307+00:00,2026-09-18T20:50:15.729337+00:00,1374.15903,1200.8884434727952,completed_with_role_failures,3869,173.27058652720484,True,True,1,0,0,0,1751044,67378,1818422,45819,1522176,102,77,25,0,100,8,71,0,77,77,0,802.3268107990734,39.021901530213654,120.0196461873129,25,,False,False,False,True,True,
django__django-12273,django/django,resolved,2026-09-18T20:50:15.731941+00:00,2026-09-18T21:13:55.958685+00:00,1420.226744,1211.213446722366,completed_with_role_failures,2020,209.01329727763414,True,True,2,0,27,0,1374707,39880,1414587,23286,1201152,119,78,41,0,109,5,72,0,78,78,0,631.8729647891596,63.310638300608844,224.03077082242817,40,,False,False,False,True,True,1
django__django-12325,django/django,unresolved,2026-09-18T21:13:55.963657+00:00,2026-09-18T21:37:22.179278+00:00,1406.215621,1208.3928731898777,completed_with_role_failures,754,197.82274781012234,True,True,0,2,201,0,1378075,42172,1420247,14407,1169408,115,93,22,0,127,9,87,0,93,93,0,711.3022776516154,44.9287198712118,112.0159285357222,20,2,False,False,True,True,True,
