instance_id,repo,artifact_dir,outcome,patch_applied,tests_status_available,infra_failure,infra_failure_reason,harness_logged_patch_applied,eval_exception_category
instance_flipt-io__flipt-2ce8a0331e8a8f63f2c1b555db8277ffe5aa2e63,flipt-io/flipt,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_flipt-io__flipt-2ce8a0331e8a8f63f2c1b555db8277ffe5aa2e63__a1,unresolved,False,False,False,,True,go_build_or_setup_failed
instance_flipt-io__flipt-492cc0b158200089dceede3b1aba0ed28df3fb1d,flipt-io/flipt,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_flipt-io__flipt-492cc0b158200089dceede3b1aba0ed28df3fb1d__a1,unresolved,False,False,False,,True,go_build_or_setup_failed
instance_flipt-io__flipt-967855b429f749c28c112b8cb1b15bc79157f973,flipt-io/flipt,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_flipt-io__flipt-967855b429f749c28c112b8cb1b15bc79157f973__a1,unresolved,False,False,False,,True,go_build_or_setup_failed
instance_flipt-io__flipt-9d25c18b79bc7829a6fb08ec9e8793d5d17e2868,flipt-io/flipt,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_flipt-io__flipt-9d25c18b79bc7829a6fb08ec9e8793d5d17e2868__a1,unresolved,False,False,False,,True,go_build_or_setup_failed
instance_flipt-io__flipt-9f8127f225a86245fa35dca4885c2daef824ee55,flipt-io/flipt,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_flipt-io__flipt-9f8127f225a86245fa35dca4885c2daef824ee55__a1,unresolved,False,False,False,,True,go_build_or_setup_failed
instance_protonmail__webclients-6e1873b06df6529a469599aa1d69d3b18f7d9d37,protonmail/webclients,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_protonmail__webclients-6e1873b06df6529a469599aa1d69d3b18f7d9d37__a1,unresolved,False,False,False,,True,no_parsed_test_results
instance_protonmail__webclients-944adbfe06644be0789f59b78395bdd8567d8547,protonmail/webclients,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_protonmail__webclients-944adbfe06644be0789f59b78395bdd8567d8547__a1,unresolved,False,False,False,,True,no_parsed_test_results
instance_flipt-io__flipt-b2cd6a6dd73ca91b519015fd5924fde8d17f3f06,flipt-io/flipt,mini_pro_retry_20260921_budget_v1/instances/mini_pro_retry_20260921_budget_v1__instance_flipt-io__flipt-b2cd6a6dd73ca91b519015fd5924fde8d17f3f06__a1,unresolved,False,False,False,,True,go_build_or_setup_failed
instance_flipt-io__flipt-b433bd05ce405837804693bebd5f4b88d87133c8,flipt-io/flipt,mini_pro_retry_20260921_budget_v1/instances/mini_pro_retry_20260921_budget_v1__instance_flipt-io__flipt-b433bd05ce405837804693bebd5f4b88d87133c8__a1,unresolved,False,False,False,,True,go_build_or_setup_failed
instance_flipt-io__flipt-e2bd19dafa7166c96b082fb2a59eb54b4be0d778,flipt-io/flipt,mini_pro_retry_20260921_budget_v1/instances/mini_pro_retry_20260921_budget_v1__instance_flipt-io__flipt-e2bd19dafa7166c96b082fb2a59eb54b4be0d778__a1,unresolved,False,False,False,,True,go_build_or_setup_failed
instance_flipt-io__flipt-ee02b164f6728d3227c42671028c67a4afd36918,flipt-io/flipt,mini_pro_retry_20260921_budget_v1/instances/mini_pro_retry_20260921_budget_v1__instance_flipt-io__flipt-ee02b164f6728d3227c42671028c67a4afd36918__a1,unresolved,False,False,False,,True,go_build_or_setup_failed
instance_flipt-io__flipt-f1bc91a1b999656dbdb2495ccb57bf2105b84920,flipt-io/flipt,mini_pro_retry_20260921_budget_v1/instances/mini_pro_retry_20260921_budget_v1__instance_flipt-io__flipt-f1bc91a1b999656dbdb2495ccb57bf2105b84920__a1,unresolved,False,False,False,,True,go_build_or_setup_failed
instance_internetarchive__openlibrary-de6ae10512f1b5ef585c8341b451bc49c9fd4996-vfa6ff903cb27f336e17654595dd900fa943dcd91,internetarchive/openlibrary,mini_pro_retry_20260921_budget_v1/instances/mini_pro_retry_20260921_budget_v1__instance_internetarchive__openlibrary-de6ae10512f1b5ef585c8341b451bc49c9fd4996-vfa6ff903cb27f336e17654595dd900fa943dcd91__a1,unresolved,False,False,True,network_unreachable,True,network_unreachable
instance_protonmail__webclients-cfd7571485186049c10c822f214d474f1edde8d1,protonmail/webclients,mini_pro_retry_20260921_budget_v1/instances/mini_pro_retry_20260921_budget_v1__instance_protonmail__webclients-cfd7571485186049c10c822f214d474f1edde8d1__a1,unresolved,False,False,False,,True,no_parsed_test_results
