instance_id,repo,batch_id,attempt,artifact_dir,selected,interrupted,cost_group,outcome,started,finished,elapsed_seconds,generation_status,patch_chars,generation_trace_seconds,generation_network_none,evaluation_network_none,detailed_eval_report,patch_applied,hard_budget_error,residual_seconds,infra_failure,infra_failure_reason,tests_status_available,fail_to_pass_success,fail_to_pass_failure,pass_to_pass_success,pass_to_pass_failure,patch_sha256,implementation_patch_available,final_equals_implementation,prompt_tokens,completion_tokens,total_tokens,reasoning_tokens,cached_tokens,model_requests,model_responses,api_errors,inflight_requests,actions,checkpoints,reasoning_responses,usage_missing,reasoning_usage_present,cached_usage_present,length_responses,api_success_seconds,api_error_seconds,error_to_retry_gap_seconds,finish_tool_calls,error_RateLimitError,all_roles_completed,error_Timeout,finish_stop,error_BadGatewayError,harness_logged_patch_applied,eval_exception_category,finish_length
instance_ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,mini_pro_full_20260920_domains_v2,1,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5__a1,True,False,selected,unresolved,2026-09-20T04:21:06.862253+00:00,2026-09-20T04:41:56.991610+00:00,1250.129357,completed_with_role_failures,4903,1206.0595004102215,4,1,True,True,False,44.06985658977851,False,,True,4,0,25,1,51a810a9deef730263b72ccc954649d7981787c98dcf7ef0fbb6d6504a289423,True,True,1049609,27298,1076907,13375,904192,102,45,57,0,59,5,41,0,45,45,0,516.131708027795,262.5292255715467,328.0355945471674,45,57,False,,,,,,
instance_ansible__ansible-106909db8b730480615f4a33de0eb5b710944e78-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,mini_pro_full_20260920_domains_v2,1,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_ansible__ansible-106909db8b730480615f4a33de0eb5b710944e78-v0f01c69f1e2528b935359cfe578530722bca2c59__a1,True,False,selected,unresolved,2026-09-20T04:41:56.994964+00:00,2026-09-20T05:01:39.123973+00:00,1182.129009,completed,4708,1136.7668958823197,4,1,True,True,False,45.36211311768034,False,,True,0,2,4,0,591eb6b5fe86e0bcccab04d9781da23e4a48a92f6f587211dc3220b57bbc819a,True,True,959689,36542,996231,17133,789760,107,55,52,0,86,8,54,0,55,55,0,626.2299057515338,153.20443935180083,248.03531059762463,55,52,True,,,,,,
instance_ansible__ansible-164881d871964aa64e0f911d03ae270acbad253c-v390e508d27db7a51eece36bb6d9698b63a5b638a,ansible/ansible,mini_pro_full_20260920_domains_v2,1,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_ansible__ansible-164881d871964aa64e0f911d03ae270acbad253c-v390e508d27db7a51eece36bb6d9698b63a5b638a__a1,True,False,selected,resolved,2026-09-20T05:01:39.128083+00:00,2026-09-20T05:22:15.245928+00:00,1236.117845,completed,3658,1198.8852469776757,6,1,True,True,False,37.23259802232428,False,,True,1,0,14,0,43c9d26796b613ffe7f67e8e97975b49ddb23dea2b03625ae2c16d9f1e8c5937,True,True,1497802,45883,1543685,18458,1203968,91,85,6,0,131,10,82,0,85,85,0,913.3339243400842,11.767072004266083,28.004597870633006,85,6,True,,,,,,
instance_ansible__ansible-185d41031660a676c43fbb781cd1335902024bfe-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,mini_pro_full_20260920_domains_v2,1,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_ansible__ansible-185d41031660a676c43fbb781cd1335902024bfe-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5__a1,True,False,selected,resolved,2026-09-20T05:22:15.247229+00:00,2026-09-20T05:42:51.354242+00:00,1236.107013,completed_with_role_failures,6748,1204.325201485306,6,1,True,True,False,31.781811514694027,False,,True,2,0,27,0,43da32e6907e2e7b4fcd7a746802b2372b02cdbbff017d192672bd1d2e0716ca,True,True,1698500,52104,1750604,17317,1433088,114,92,22,0,113,12,90,0,92,92,0,886.9016168401577,90.01126636145636,92.0136613920331,92,21,False,1,,,,,
instance_ansible__ansible-189fcb37f973f0b1d52b555728208eeb9a6fce83-v906c969b551b346ef54a2c0b41e04f632b7b73c2,ansible/ansible,mini_pro_full_20260920_domains_v2,1,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_ansible__ansible-189fcb37f973f0b1d52b555728208eeb9a6fce83-v906c969b551b346ef54a2c0b41e04f632b7b73c2__a1,True,False,selected,resolved,2026-09-20T05:42:51.355553+00:00,2026-09-20T06:03:35.470738+00:00,1244.115185,completed_with_role_failures,10853,1209.210631470196,4,1,True,True,False,34.90455352980416,False,,True,5,0,0,0,ac07f7660de250b0bcd876c1b5e680a6c3c8ab5960fa42795b1d295492427ec3,True,True,1632170,50241,1682411,18387,1372160,89,65,24,0,98,8,60,0,65,65,0,853.987490337342,98.22794988565147,108.01745480950922,65,23,False,1,,,,,
instance_ansible__ansible-1a4644ff15355fd696ac5b9d074a566a80fe7ca3-v30a923fb5c164d6cd18280c02422f75e611e8fb2,ansible/ansible,mini_pro_full_20260920_domains_v2,1,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_ansible__ansible-1a4644ff15355fd696ac5b9d074a566a80fe7ca3-v30a923fb5c164d6cd18280c02422f75e611e8fb2__a1,True,False,selected,resolved,2026-09-20T06:03:35.472397+00:00,2026-09-20T06:24:15.597958+00:00,1240.125561,completed_with_role_failures,4056,1205.2017971887253,6,1,True,True,False,34.92376381127474,False,,True,11,0,0,0,bb96a02fb1615a5c7df7410fd56dce50a5a22991734c96ce00d87b51ccb70e87,True,True,1666294,52255,1718549,23874,1339136,82,75,7,0,111,12,72,0,75,75,0,983.9691943912767,43.489325729198754,24.00411846023053,75,6,False,1,,,,,
instance_ansible__ansible-1b70260d5aa2f6c9782fd2b848e8d16566e50d85-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,mini_pro_full_20260920_domains_v2,1,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_ansible__ansible-1b70260d5aa2f6c9782fd2b848e8d16566e50d85-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5__a1,True,False,selected,resolved,2026-09-20T06:24:15.600607+00:00,2026-09-20T06:45:21.729979+00:00,1266.129372,completed_with_role_failures,8544,1220.986553195864,4,1,True,True,False,45.14281880413614,False,,True,1,0,7,0,b16913de06b55d268eb5f40038f7dcfde0378a9458329a1e6170fa6802bbe26e,True,True,1834943,33906,1868849,14683,1651968,88,79,9,0,122,7,76,0,79,79,0,994.3990551116876,55.18955357186496,32.00579252419993,79,8,False,1,,,,,
instance_ansible__ansible-1bd7dcf339dd8b6c50bc16670be2448a206f4fdb-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,mini_pro_full_20260920_domains_v2,1,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_ansible__ansible-1bd7dcf339dd8b6c50bc16670be2448a206f4fdb-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5__a1,True,False,selected,unresolved,2026-09-20T06:45:21.735629+00:00,2026-09-20T07:06:11.853553+00:00,1250.117924,completed_with_role_failures,34193,1205.851557584945,4,1,True,True,False,44.26636641505479,False,,True,3,2,34,0,562b82d4eef60eca20d28823268bffd5a02c6ab17c3d8316834ba58b4829cc04,True,True,1414936,37992,1452928,18942,1250816,53,52,0,1,78,4,47,0,52,52,0,1082.640129759442,0,0,52,,False,,,,,,
instance_ansible__ansible-1c06c46cc14324df35ac4f39a45fb3ccd602195d-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,mini_pro_full_20260920_domains_v2,1,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_ansible__ansible-1c06c46cc14324df35ac4f39a45fb3ccd602195d-v0f01c69f1e2528b935359cfe578530722bca2c59__a1,True,False,selected,unresolved,2026-09-20T07:06:11.855768+00:00,2026-09-20T07:26:51.965784+00:00,1240.110016,completed_with_role_failures,5424,1205.7753256321885,4,1,True,True,False,34.33469036781162,False,,True,2,2,18,0,ec7925a3b905ace3fe26312277797ba5f92ebe701778780ff884954a152a085a,True,True,1149260,27080,1176340,11872,1047808,71,59,12,0,97,5,52,0,59,59,0,925.3628480033949,117.12637133197859,44.00822374969721,59,11,False,1,,,,,
instance_ansible__ansible-34db57a47f875d11c4068567b9ec7ace174ec4cf-v1055803c3a812189a1133297f7f5468579283f86,ansible/ansible,mini_pro_full_20260920_domains_v2,1,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_ansible__ansible-34db57a47f875d11c4068567b9ec7ace174ec4cf-v1055803c3a812189a1133297f7f5468579283f86__a1,True,False,selected,unresolved,2026-09-20T07:26:51.967925+00:00,2026-09-20T07:47:30.092980+00:00,1238.125055,completed_with_role_failures,1560,1204.3853062978014,4,1,True,True,False,33.73974870219854,False,,True,2,1,0,0,37d3da77118e8805787cc4f946c44ddf40a35bfe24b4ac210ffd9c1817edea18,True,True,919350,30988,950338,15256,822784,66,53,13,0,73,7,46,0,53,53,0,935.0792409232818,123.13750476110727,52.00759398424998,52,12,False,1,1,,,,
