instance_id,repo,batch_id,attempt,selected,interrupted,outcome,phase,phase_started,exit_status,verdict,observed_phase_seconds,mini_version,prompt_tokens,completion_tokens,total_tokens,reasoning_tokens,cached_tokens,model_requests,model_responses,api_errors,inflight_requests,actions,checkpoints,reasoning_responses,usage_missing,reasoning_usage_present,cached_usage_present,length_responses,api_success_seconds,api_error_seconds,error_to_retry_gap_seconds,error_RateLimitError,finish_tool_calls,error_Timeout,finish_stop,error_BadGatewayError,finish_length
instance_ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,mini_pro_full_20260920_domains_v2,1,True,False,unresolved,analysis,True,Submitted,,366.7778665390797,2.4.6,185901,4601,190502,1576,142336,37,14,23,0,18,2,13,0,14,14,0,115.7943416419439,72.63270442234352,160.01344908727333,23,14,,,,
instance_ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,mini_pro_full_20260920_domains_v2,1,True,False,unresolved,implementation,True,Submitted,,802.1536120153032,2.4.6,863708,22697,886405,11799,761856,65,31,34,0,41,3,28,0,31,31,0,400.33736638585106,189.89652114920318,168.0221454598941,34,31,,,,
instance_ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,mini_pro_full_20260920_domains_v2,1,True,False,unresolved,review,True,TaskBudgetExhausted,unverified,5.55645848531276,2.4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
instance_ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,mini_pro_full_20260920_domains_v2,1,True,False,unresolved,revision,False,BudgetExhausted,unverified,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
instance_ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,mini_pro_full_20260920_domains_v2,1,True,False,unresolved,final_review,False,BudgetExhausted,unverified,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
instance_ansible__ansible-106909db8b730480615f4a33de0eb5b710944e78-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,mini_pro_full_20260920_domains_v2,1,True,False,unresolved,analysis,True,Submitted,,300.2796001890674,2.4.6,92204,5163,97367,1946,62464,34,11,23,0,23,2,11,0,11,11,0,104.29578333394602,55.72556423395872,120.01421341532841,23,11,,,,
instance_ansible__ansible-106909db8b730480615f4a33de0eb5b710944e78-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,mini_pro_full_20260920_domains_v2,1,True,False,unresolved,implementation,True,Submitted,,480.54431858006865,2.4.6,575837,18345,594182,10008,496640,46,25,21,0,34,2,24,0,25,25,0,300.38965435978025,58.28117140661925,92.01563122263178,21,25,,,,
instance_ansible__ansible-106909db8b730480615f4a33de0eb5b710944e78-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,mini_pro_full_20260920_domains_v2,1,True,False,unresolved,review,True,Submitted,approve,323.08472564816475,2.4.6,291648,13034,304682,5179,230656,27,19,8,0,29,4,19,0,19,19,0,221.54446805780753,39.19770371122286,36.005465959664434,8,19,,,,
instance_ansible__ansible-106909db8b730480615f4a33de0eb5b710944e78-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,mini_pro_full_20260920_domains_v2,1,True,False,unresolved,revision,False,SkippedApproved,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
instance_ansible__ansible-106909db8b730480615f4a33de0eb5b710944e78-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,mini_pro_full_20260920_domains_v2,1,True,False,unresolved,final_review,False,SkippedApproved,approve,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
