instance_id,repo,original_outcome,selected_batch,selected_attempt,selected_artifact_dir,final_outcome,replacement,selection_reason
instance_ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,unresolved,mini_pro_full_20260920_domains_v2,1,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5__a1,unresolved,False,retain_original
instance_ansible__ansible-106909db8b730480615f4a33de0eb5b710944e78-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,unresolved,mini_pro_full_20260920_domains_v2,1,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_ansible__ansible-106909db8b730480615f4a33de0eb5b710944e78-v0f01c69f1e2528b935359cfe578530722bca2c59__a1,unresolved,False,retain_original
instance_ansible__ansible-164881d871964aa64e0f911d03ae270acbad253c-v390e508d27db7a51eece36bb6d9698b63a5b638a,ansible/ansible,resolved,mini_pro_full_20260920_domains_v2,1,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_ansible__ansible-164881d871964aa64e0f911d03ae270acbad253c-v390e508d27db7a51eece36bb6d9698b63a5b638a__a1,resolved,False,retain_original
instance_ansible__ansible-185d41031660a676c43fbb781cd1335902024bfe-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,resolved,mini_pro_full_20260920_domains_v2,1,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_ansible__ansible-185d41031660a676c43fbb781cd1335902024bfe-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5__a1,resolved,False,retain_original
instance_ansible__ansible-189fcb37f973f0b1d52b555728208eeb9a6fce83-v906c969b551b346ef54a2c0b41e04f632b7b73c2,ansible/ansible,resolved,mini_pro_full_20260920_domains_v2,1,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_ansible__ansible-189fcb37f973f0b1d52b555728208eeb9a6fce83-v906c969b551b346ef54a2c0b41e04f632b7b73c2__a1,resolved,False,retain_original
instance_ansible__ansible-1a4644ff15355fd696ac5b9d074a566a80fe7ca3-v30a923fb5c164d6cd18280c02422f75e611e8fb2,ansible/ansible,resolved,mini_pro_full_20260920_domains_v2,1,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_ansible__ansible-1a4644ff15355fd696ac5b9d074a566a80fe7ca3-v30a923fb5c164d6cd18280c02422f75e611e8fb2__a1,resolved,False,retain_original
instance_ansible__ansible-1b70260d5aa2f6c9782fd2b848e8d16566e50d85-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,resolved,mini_pro_full_20260920_domains_v2,1,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_ansible__ansible-1b70260d5aa2f6c9782fd2b848e8d16566e50d85-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5__a1,resolved,False,retain_original
instance_ansible__ansible-1bd7dcf339dd8b6c50bc16670be2448a206f4fdb-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,ansible/ansible,unresolved,mini_pro_full_20260920_domains_v2,1,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_ansible__ansible-1bd7dcf339dd8b6c50bc16670be2448a206f4fdb-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5__a1,unresolved,False,retain_original
instance_ansible__ansible-1c06c46cc14324df35ac4f39a45fb3ccd602195d-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,unresolved,mini_pro_full_20260920_domains_v2,1,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_ansible__ansible-1c06c46cc14324df35ac4f39a45fb3ccd602195d-v0f01c69f1e2528b935359cfe578530722bca2c59__a1,unresolved,False,retain_original
instance_ansible__ansible-34db57a47f875d11c4068567b9ec7ace174ec4cf-v1055803c3a812189a1133297f7f5468579283f86,ansible/ansible,unresolved,mini_pro_full_20260920_domains_v2,1,mini_pro_full_20260920_domains_v2/instances/mini_pro_full_20260920_domains_v2__instance_ansible__ansible-34db57a47f875d11c4068567b9ec7ace174ec4cf-v1055803c3a812189a1133297f7f5468579283f86__a1,unresolved,False,retain_original
